"hepatitis","tylenol"
"appendicitis","cefazolin"
"allopurinol","colchicine"
"thalassemia","iron"
"snoring","stridor"
"hemoptysis","coumadin"
"thromboembolism","fibrillation"
"allergy","meningism"
"allergy","bacitracin"
"dehydration","dysentery"
"lipitor","lovastatin"
"gastroenteritis","cromolyn"
"angina","diarrhea"
"syncope","weakness"
"clubbing","dyspnea"
"plague","cholestyramine"
"hyperextension","bacitracin"
"polyuria","insulin"
"syphilis","penicillin"
"dyslipidemia","lipitor"
"psoriasis","arthritis"
"dermatitis","allergy"
"fibrillation","atenolol"
"influenza","pneumoniae"
"hyperoxia","anoxia"
"myelosuppression","snoring"
"constipation","calan"
"zoonosis","babesiosis"
"erythromycin","allopurinol"
"penicillin","cefazolin"
"hypothyroidism","comatose"
"hemicrania","tylenol"
"angina","dyspnea"
"parasitemia","malaria"
"pneumoniae","weakness"
"infertility","carboplatin"
"dysentery","esmolol"
"asthma","urolithiasis"
"levaquin","avelox"
"bleomycin","antabuse"
"pallor","iron"
"dyspnea","agitation"
"hernias","dementia"
"calamine","bleomycin"
"photopsia","headache"
"toothache","ataxia"
"pallor","albumin"
"dyslipidemia","iron"
"thalassemia","hemoglobinopathy"
"cardiomyopathy","rales"
"pneumoniae","septicemia"
"colitis","epilepsy"
"arthritis","rheumatism"
"neuropathy","insulin"
"headache","tylenol"
"bandemia","nausea"
"herpes","hyperthyroidism"
"alcohol","antabuse"
"pneumoniae","dyspnea"
"tiredness","atenolol"
"psoriasis","atherosclerosis"
"hemoglobinopathy","pain"
"diarrhea","colchicine"
"gastroenteritis","insulin"
"dizziness","atenolol"
"gastroenteritis","dysentery"
"ketonuria","starvation"
"isosorbide","toprol"
"hemoptysis","hematemesis"
"dysuria","cipro"
"epilepsy","alcohol"
"thirsty","hunger"
"polydipsia","polyuria"
"epilepsy","phenobarbital"
"deafness","ataxia"
"uremia","pyorrhea"
"mycosis","histoplasmosis"
"cortisone","adenosine"
"agranulocytosis","anemia"
"clonus","spasm"
"cirrhosis","anemia"
"anosmia","aphonia"
"rales","cyanosis"
"drooling","chills"
"cirrhosis","methotrexate"
"fibrillation","cardiomyopathies"
"tiredness","hypersomnolence"
"rheumatism","sleeplessness"
"dehydration","syncope"
"hematemesis","vomiting"
"dyslipidemia","constipation"
"leukopenia","penicillin"
"cataracts","pancreatitis"
"photosensitization","dermatitis"
"diabetes","polyuria"
"meningism","hyperesthesia"
"thromboembolism","dyspnea"
"adenitis","stridor"
"nystagmus","incontinence"
"pain","morphine"
"cardiomyopathies","syncope"
"ataxia","ethanol"
"polyuria","chyluria"
"syncope","atenolol"
"pancreatitis","insulin"
"hemochromatosis","arthritis"
"hypothyroidism","weakness"
"pallor","blanching"
"anoxia","seizures"
"hypothyroidism","infertility"
"encephalitis","headache"
"hepatitis","hematemesis"
"aneurysm","osteoporosis"
"neuropathy","syphilis"
"dizziness","vertigo"
"dyspnea","cyanosis"
"torticollis","erythromycin"
"overeating","seizures"
"anosmia","digoxin"
"fibrillation","calamine"
"arthralgia","tylenol"
"neuropathy","constipation"
"thrombocytopenia","heartburn"
"anosmia","catch"
"seizures","insulin"
"mycoses","meningitis"
"comatose","anoxia"
"albumin","heparin"
"dyspnea","penicillin"
"diarrhea","cefaclor"
"clubbing","garlic"
"hyperemesis","nausea"
"bronchitis","pneumonia"
"dehydration","starvation"
"anovulation","mittelschmerz"
"mycosis","carboplatin"
"histoplasmosis","prednisolone"
"encephalitis","meningitis"
"osteoporosis","prednisolone"
"iron","iron"
"ataxia","constipation"
"mannitol","tylenol"
"anovulation","torticollis"
"brucellosis","zoonosis"
"hernias","earache"
"tuberculosis","clubbing"
"anovulation","carboplatin"
"arthritis","metatarsalgia"
"cataracts","diabetes"
"dyslipidemia","angina"
"hepatitis","cirrhosis"
"ketonuria","insulin"
"regurgitation","heartburn"
"thromboembolism","hemoptysis"
"uremia","aspirin"
"bandemia","meningism"
"catatonia","lethargy"
"cataracts","wheezing"
"starvation","anorexia"
"blepharospasm","bedwetting"
"cataracts","insulin"
"plague","adenitis"
"zoonosis","plague"
"aphonia","mittelschmerz"
"hemophilia","thromboembolism"
"glaucoma","headache"
"hemicrania","headache"
"hyperacusis","aphonia"
"leukopenia","bleomycin"
"nephritis","pyorrhea"
"peritonitis","ataxia"
"sleeplessness","agitation"
"arteriosclerosis","cholestyramine"
"psoriasis","meningism"
"pallor","aspirin"
"polyuria","ketonuria"
"enalapril","lisinopril"
"anosmia","constipation"
"proteinuria","lisinopril"
"hemoptysis","protamine"
"coumadin","aspirin"
"fibrillation","halitosis"
"convulsion","ethanol"
"convulsion","epilepsy"
"thalassemia","tremor"
"rheumatism","colchicine"
"cardiomyopathy","tylenol"
"diabetes","insulin"
"ketonuria","chyluria"
"cardiomyopathy","angina"
"glomerulosclerosis","proteinuria"
"goiter","vasculitis"
"erythromycin","lidocaine"
"cromolyn","prednisolone"
"comatose","cataracts"
"hyperemesis","carboplatin"
"coccidioidomycosis","histoplasmosis"
"rhonchi","rales"
"flatulence","halitosis"
"comatose","hepatitis"
"infertility","blepharospasm"
"snoring","loperamide"
"atherosclerosis","influenzae"
"hyperthyroidism","seizures"
"candidiasis","mycosis"
"anoxia","propofol"
"virilization","drooling"
"nitroglycerine","toprol"
"epilepsy","hepatomegaly"
"methadone","ultram"
"heparin","protamine"
"appendicitis","peritonitis"
"rheumatism","prednisolone"
"obesity","diabetes"
"tuberculosis","hemoptysis"
"comatose","hyperglycemia"
"hemochromatosis","polyuria"
"acetylcysteine","adenosine"
"photosensitization","aphonia"
"infertility","anovulation"
"epilepsy","anosmia"
"snoring","welts"
"dizziness","ethanol"
"smallpox","vaccinia"
"nocturia","diabetes"
"meningitis","meningism"
"erythema","tremor"
"arthralgia","pain"
"anoxia","ataxia"
"avitaminosis","starvation"
"metatarsalgia","toothache"
"giardiasis","avitaminosis"
"chills","snoring"
"hemochromatosis","arthralgia"
"ethanol","alcohol"
"diabetes","polydipsia"
"diabetes","hyperglycemia"
"atherosclerosis","toothache"
"hyperextension","hunger"
"influenzae","amantadine"
"medrol","prednisolone"
"hyperthyroidism","osteoporosis"
"agitation","morphine"
"headache","flushing"
"infertility","fibrillation"
"earache","hyperacusis"
"hemochromatosis","anosmia"
"psoriasis","spasm"
"meningitis","tuberculosis"
"carboplatin","cisplatin"
"metatarsalgia","colchicine"
"neuropathy","diabetes"
"cirrhosis","hematemesis"
"heartburn","motrin"
"snoring","ethanol"
"reticulocytosis","hematemesis"
"diabetes","psoriasis"
"weakness","paresis"
"myositis","myopathy"
"herpes","cholestasis"
"atherosclerosis","angina"
"hepatomegaly","hepatosplenomegaly"
"nausea","vomiting"
"hemicrania","nitroglycerine"
"arthralgia","chyluria"
"hyperacusis","bleomycin"
"seizures","dilantin"
"meningitis","headache"
"thrombocytopenia","arthritis"
"colchicine","probenecid"
"tiredness","calan"
"pneumonia","cyanosis"
"hypoproteinemia","hunger"
"hepatitis","hepatomegaly"
"starvation","cisplatin"
"syphilis","gonorrhea"
"goiter","scleroderma"
"obesity","snoring"
"arthritis","arthralgia"
"atenolol","lasix"
"hunger","starvation"
"cirrhosis","hemochromatosis"
"spasm","opisthotonus"
"pancreatitis","cataract"
"flushing","iron"
"hypersomnolence","snoring"
"cefepime","bacitracin"
"starvation","mittelschmerz"
"anemia","coumadin"
"angina","corkscrewing"
"giardiasis","mannerism"
"osteoporosis","thrombus"
"uremia","nausea"
"colchicine","prednisolone"
"septicemia","dyspnea"
"clubbing","constipation"
"arthralgia","neuralgia"
"cluttering","nitroglycerine"
"overeating","malnutrition"
"constipation","diarrhea"
"sluggishness","fatigue"
"pallor","weakness"
"mastodynia","earache"
"dyslipidemia","activase"
"arthritis","cirrhosis"
"hemiplegia","headache"
"erythema","dilantin"
"bronchitis","loperamide"
"seizures","calamine"
"atenolol","toprol"
"rales","hyperacusis"
"nocturia","bacitracin"
"glaucoma","fibrillation"
"hernia","goiter"
"epilepsy","ischemia"
"vasculitis","convulsion"
"reticulocytosis","aspirin"
"torticollis","spasm"
"cefaclor","cefoxitin"
"dermatomyositis","myopathy"
"uremia","hypersomnolence"
"otitis","meningism"
"osteoporosis","cardiomyopathy"
"earache","crowning"
"thromboembolism","syncope"
"hypothyroidism","tiredness"
"myopathy","trembling"
"mittelschmerz","toothache"
"proteinuria","diabetes"
"thromboembolism","heparin"
"rheumatism","tylenol"
"leukopenia","cefaclor"
"schistosomiasis","parasitemia"
"dyslipidemia","cholestyramine"
"mycosis","pain"
"nocturia","ethanol"
"grimaces","hemiballismus"
"rabies","acne"
"weakness","cortisone"
"lipitor","zocor"
"arthralgia","clubbing"
"vasculitis","hemiplegia"
"fibrillation","angina"
"syphilis","dementias"
"dyslipidemia","hyperlipidemia"
"esmolol","amiodarone"
"anemia","reticulocytosis"
